-1,Karakter,Hu Tao,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/b9fc76e89d1c04ef640afeb5cf2b3af2_1774478511990332077.png,火
-1,Karakter,Keqing,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/520b55c9caea9a48a2944d76e440336a_8799414428561417528.png,雷
-1,Karakter,Xiao,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/c1d61bd00fb67ae1b3653d6e0cfc6faf_2216031240631533952.png,风
-1,Senjata,Primordial Jade Winged-Spear,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/0640786ae6809995e96d9c29c82722ea_7784236392718556731.png,
-1,Senjata,Staff of Homa,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/3938c35c05c3c155e557f49013945d75_9201137672077612660.png,
-2,Senjata,Primordial Jade Cutter,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/5826e7a6f499449a04032850b385b35f_6863049074293491094.png,
-2,Senjata,Wolf's Gravestone,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/ffbbf83a3161c3ae7395ce52565ba641_544595668378488718.png,
1003,Karakter,Jean,,
1016,Karakter,Diluc,,
1022,Character,Venti,,
1029,Karakter,Klee,,
1030,Karakter,Zhongli,,
1033,Karakter,Tartaglia,,
1035,Karakter,Qiqi,,
1037,Karakter,Ganyu,,
1038,Karakter,Albedo,,
1041,Karakter,Mona,,
1042,Karakter,Keqing,,
11501,Senjata,Aquila Favonia,,
11502,Senjata,Skyward Blade,,
11504,Senjata,Summit Shaper,,
12501,Senjata,Skyward Pride,,
12502,Senjata,Wolf's Gravestone,,
12504,Senjata,The Unforged,,
13502,Senjata,Skyward Spine,,
13504,Senjata,Vortex Vanquisher,,
13505,Senjata,Primordial Jade Winged - Spear,,
14501,Senjata,Skyward Atlas,,
14502,Senjata,Lost Prayer to the Sacred Winds,,
14504,Senjata,Memory of Dust,,
15501,Senjata,Skyward Harp,,
15502,Senjata,Amos' Bow,,
