-1,Nhân Vật,Keqing,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/520b55c9caea9a48a2944d76e440336a_8799414428561417528.png,雷
-1,Nhân Vật,Xiao,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/c1d61bd00fb67ae1b3653d6e0cfc6faf_2216031240631533952.png,风
-1,Vũ Khí,Hòa Phác Diên,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/0640786ae6809995e96d9c29c82722ea_7784236392718556731.png,
-2,Vũ Khí,Bàn Nham Kết Lục,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/5826e7a6f499449a04032850b385b35f_6863049074293491094.png,
1003,Nhân Vật,Jean,,
1016,Nhân Vật,Diluc,,
1022,Nhân Vật,Venti,,
1029,Nhân Vật,Klee,,
1030,Nhân Vật,Zhongli,,
1033,Nhân Vật,Tartaglia,,
1035,Nhân Vật,Qiqi,,
1037,Nhân Vật,Ganyu,,
1038,Nhân Vật,Albedo,,
1041,Nhân Vật,Mona,,
1042,Nhân Vật,Keqing,,
11501,Vũ Khí,Phong Ưng Kiếm,,
11502,Vũ Khí,Thiên Không Kiếm,,
11504,Vũ Khí,Kiếm Chước Phong,,
12501,Vũ Khí,Thiên Không Kiêu Ngạo,,
12502,Vũ Khí,Đường Cùng Của Sói,,
12504,Vũ Khí,Kiếm Vô Công,,
13502,Vũ Khí,Xương Sống Thiên Không,,
13504,Vũ Khí,Giáo Nịnh Thần,,
13505,Vũ Khí,Hòa Phác Diên,,
14501,Vũ Khí,Quyển Thiên Không,,
14502,Vũ Khí,Điển Tích Tây Phong,,
14504,Vũ Khí,Khóa Trần Thế,,
15501,Vũ Khí,Cánh Thiên Không,,
15502,Vũ Khí,Cung Amos,,
